source,target,value
tt1544572,tt1328875,30.76923076923077
tt2999390,tt2414212,30.0
tt2999390,tt1328875,30.0
tt2414212,tt1328875,30.76923076923077
tt1636826,tt1636826,31.428571428571427
tt0409182,tt0177971,30.0
tt6915100,tt3563262,30.0
tt6915100,tt0087884,30.0
tt3563262,tt0087884,30.0
tt4139588,tt0283003,30.0
tt0910936,tt1018765,30.0
tt6850820,tt0936501,30.0
tt10451914,tt0338309,30.0
tt10451914,tt1161864,30.0
tt0338309,tt1161864,30.0
tt6679794,tt1186370,30.0
tt1637706,tt0458364,30.0
tt0181739,tt0338466,15.0
tt0181739,tt1333125,2.307692307692308
tt0338466,tt1333125,2.307692307692308
tt0400717,tt0110357,10.0
tt0081675,tt0059080,30.0
tt0081675,tt0067123,30.0
tt0081675,tt0065755,30.0
tt0081675,tt0064360,30.0
tt0059080,tt0067123,30.0
tt0059080,tt0065755,30.0
tt0059080,tt0064360,30.76923076923077
tt0067123,tt0065755,30.0
tt0067123,tt0064360,30.0
tt0065755,tt0064360,30.0
tt0089881,tt0050613,30.0
tt0089881,tt0042876,30.0
tt0089881,tt0055630,30.76923076923077
tt0089881,tt0044741,30.0
tt0050613,tt0042876,30.909090909090907
tt0050613,tt0055630,30.909090909090907
tt0050613,tt0044741,30.833333333333336
tt0042876,tt0055630,30.833333333333336
tt0042876,tt0044741,30.833333333333336
tt0055630,tt0044741,30.76923076923077
tt0184503,tt0116390,30.76923076923077
tt0184503,tt0113142,30.833333333333336
tt0116390,tt0113142,30.833333333333336
tt1705772,tt6317052,30.76923076923077
tt10703826,tt2460426,30.0
tt10703826,tt5446858,30.0
tt10703826,tt8488126,30.0
tt2460426,tt5446858,30.0
tt2460426,tt8488126,30.0
tt5446858,tt8488126,30.0
tt3727690,tt12192190,30.833333333333336
tt5742374,tt1242460,30.0
tt0032145,tt0033253,30.0
tt0032145,tt0033836,30.0
tt0032145,tt0046250,30.0
tt0033253,tt0033836,30.0
tt0033253,tt0046250,30.0
tt0033836,tt0046250,30.0
tt0096438,tt0096438,31.428571428571427
tt0096438,tt0338348,30.0
tt0096438,tt0088011,30.76923076923077
tt0338348,tt0088011,30.0
tt1486834,tt0810922,30.0
tt13281680,tt10369866,30.0
tt0823158,tt0306841,30.0
tt1389137,tt1389137,31.428571428571427
tt1389137,tt0259711,30.0
tt1389137,tt0098258,30.0
tt0259711,tt0098258,30.0
tt1655460,tt2398249,30.76923076923077
