id,group,popu,year,label,duration,plateform,country,rating,link,size
tt3501632,28,3.949993996746085,2017,Thor: Ragnarok,131,['Disney +'],North America,79,https://image.tmdb.org/t/p/original/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,62
tt0800369,28,3.499995575693873,2011,Thor,115,['Disney +'],North America,70,https://image.tmdb.org/t/p/original/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,39
tt0053352,12,3.5463904426090487,1959,Third Man on the Mountain,105,['Disney +'],North America,71,https://image.tmdb.org/t/p/original/6qyi0rjamE08PKo36b7SEnb5cCt.jpg,41
tt2448374,16,3.249468563487408,2013,The Wizards Return: Alex vs. Alex,60,['Disney +'],North America,65,https://image.tmdb.org/t/p/original/iWL88DymJrzO6hYI1ykUeUohqef.jpg,30
tt0405469,16,2.5998965853270626,2006,The Wild,95,['Disney +'],North America,52,https://image.tmdb.org/t/p/original/sxqzaOto1qyUseSg6YpIP9Su5lp.jpg,16
tt0047642,99,3.6937341251227953,1954,The Vanishing Prairie,71,['Disney +'],North America,74,https://image.tmdb.org/t/p/original/oVHC2BC5PRwf2HxjS5MZ21ZPiJp.jpg,48
tt0061135,35,3.349156277551369,1966,The Ugly Dachshund,93,['Disney +'],North America,67,https://image.tmdb.org/t/p/original/48GKGTAFZd1m6mbsskMn2oq1EFe.jpg,34
tt0108333,28,3.199939821910468,1993,The Three Musketeers,105,['Disney +'],North America,64,https://image.tmdb.org/t/p/original/mk8UH7JRmK8adcqJJpB1ygP7B1C.jpg,29
tt0200208,35,2.9994357189897203,1999,The Thirteenth Year,95,['Disney +'],Others,60,https://image.tmdb.org/t/p/original/lx5qYxPn1fgxtYSWt7jpxT7WCJU.jpg,24
tt0057546,16,3.599961709663524,1963,The Sword in the Stone,79,['Disney +'],North America,72,https://image.tmdb.org/t/p/original/7lyeeuhGAJSNXYEW34S8mJ1bwI8.jpg,43
tt0073760,35,2.9990480723544897,1975,The Strongest Man in the World,92,['Disney +'],North America,60,https://image.tmdb.org/t/p/original/qFRw21j9jbCbP4J14lDGhibzP0u.jpg,24
tt0166896,1,3.999954335553768,1999,The Straight Story,112,['Disney +'],North America,80,https://image.tmdb.org/t/p/original/tT9cMiVDdtlcdZxOoFy3VRmEoKk.jpg,65
tt0059742,1,3.999981610928625,1965,The Sound of Music,175,['Disney +'],North America,80,https://image.tmdb.org/t/p/original/xvXiJggaxRrU4jLjTXCmqnqEsGd.jpg,65
tt0963966,28,3.049980694064216,2010,The Sorcerer's Apprentice,109,['Disney +'],North America,61,https://image.tmdb.org/t/p/original/kffWPQfYLkjsoYEBlFpzqVoTfCV.jpg,25
