id,group,popu,year,label,duration,plateform,country,rating,link
tt0319524,35,2.799705278669816,2003,How to Deal,99,"['Netflix', 'HBO']",North America,56,https://image.tmdb.org/t/p/original/pD87iTm4MP7JNcxIUssAbpri8nF.jpg
tt1292566,35,3.0499640810942905,2016,How to Be Single,110,"['Netflix', 'HBO']",North America,61,https://image.tmdb.org/t/p/original/a4Ce3qHqIyHM3QfGsiVTAu3YADJ.jpg
tt0244491,35,1.3486315257127812,2001,House Party 4: Down to the Last Minute,96,"['Netflix', 'HBO']",North America,27,https://image.tmdb.org/t/p/original/6sTL8MRBLqOxWJjftXYWZH00PbM.jpg
tt0110064,35,2.39953726019617,1994,House Party 3,100,"['Netflix', 'HBO']",North America,48,https://image.tmdb.org/t/p/original/jLUgvHO3vVLkzKs3OcYksGPbLnA.jpg
tt0099800,35,3.2497743290630354,1990,House Party,100,"['Netflix', 'HBO']",North America,65,https://image.tmdb.org/t/p/original/4vPYZzMy9YyqDryETRVeILJ4ELq.jpg
tt0837796,27,2.299603619130667,2008,House,101,"['Netflix', 'HBO']",Europe,46,https://image.tmdb.org/t/p/original/5QPnbZLJIO1r6vP9Uejf96V1U1w.jpg
tt0395169,1,4.049988270406235,2004,Hotel Rwanda,121,"['Netflix', 'HBO']",Europe,81,https://image.tmdb.org/t/p/original/p3pHw85UMZPegfMZBA6dZ06yarm.jpg
tt0340163,28,3.249970199206841,2005,Hostage,113,"['Netflix', 'HBO']",Europe,65,https://image.tmdb.org/t/p/original/vjhLmtjO2pMQXRgkxcwZoq2Ma8n.jpg
tt1499658,35,3.399992177983093,2011,Horrible Bosses,98,"['Netflix', 'HBO']",North America,68,https://image.tmdb.org/t/p/original/uQkUwgyFHAm0jGQERPG6Z9o9Zbj.jpg
tt0077696,28,3.1995078058919186,1978,Hooper,99,"['Netflix', 'HBO']",North America,64,https://image.tmdb.org/t/p/original/A8J7EkNm7ve7cNvJoQN8uK2nmYl.jpg
tt0110057,99,4.149838253921876,1994,Hoop Dreams,174,"['Netflix', 'HBO']",North America,83,https://image.tmdb.org/t/p/original/7qHwh3mFJs7ldwzGSWsBLmgecfj.jpg
tt0041473,35,3.5492859298022674,1949,Holiday Affair,87,"['Netflix', 'HBO']",North America,71,https://image.tmdb.org/t/p/original/rlkwW3fsd5KI5QMKZVWAoSfkiY4.jpg
tt0465494,28,3.1499810077928343,2007,Hitman,89,"['Netflix', 'HBO']",Europe,63,https://image.tmdb.org/t/p/original/h69UJOOKlrHcvhl5H2LY74N61DQ.jpg
tt0975645,1,3.39995430383915,2012,Hitchcock,98,"['Netflix', 'HBO']",North America,68,https://image.tmdb.org/t/p/original/zlG4QzB00VM6QHUmRkKaboCOgat.jpg
tt0386588,35,3.2999892305558505,2005,Hitch,118,"['Netflix', 'HBO']",North America,66,https://image.tmdb.org/t/p/original/3ESvmnm6L01vE1mjZOK93LIj3vG.jpg
tt0049314,35,3.499770393938482,1956,High Society,111,"['Netflix', 'HBO']",North America,70,https://image.tmdb.org/t/p/original/gRhbKvoz9aOABDXtg0Rye9A6Rlk.jpg
tt0400497,12,2.3999486834087067,2005,Herbie Fully Loaded,100,"['Netflix', 'HBO']",North America,48,https://image.tmdb.org/t/p/original/7lTfTZ8CDfXw09eAv3OOvsbCVgs.jpg
tt1029120,35,3.1997460015082497,2008,Henry Poole Is Here,99,"['Netflix', 'HBO']",North America,64,https://image.tmdb.org/t/p/original/2aTt7ZNocc5NoZjACTsrSUX9I62.jpg
tt0423455,1,3.1496664372322702,2012,Hemingway & Gellhorn,155,"['Netflix', 'HBO']",North America,63,https://image.tmdb.org/t/p/original/b3fdkG3S8z6ibGOIVZYWvQlZPl0.jpg
tt0167190,28,3.3999892800446454,2004,Hellboy,122,"['Netflix', 'HBO']",North America,68,https://image.tmdb.org/t/p/original/kukfPWDRXVe7b4HFYMKnxKvMg18.jpg
tt1865393,35,2.448450837863835,2013,Hellbenders,87,"['Netflix', 'HBO']",North America,49,https://image.tmdb.org/t/p/original/akO9gTu6klRbdxchj1khUswboop.jpg
tt0089264,35,3.499185951858537,1985,Heaven Help Us,104,"['Netflix', 'HBO']",North America,70,https://image.tmdb.org/t/p/original/pZ345bJOpi30Nb5ZN6qDGySOAOf.jpg
tt0252501,18,3.449909727219211,2001,Hearts in Atlantis,101,"['Netflix', 'HBO']",Others,69,https://image.tmdb.org/t/p/original/qPTEh8vutS5FSCDoR16MWVGHqTm.jpg
tt0071604,99,4.099266481798182,1974,Hearts and Minds,112,"['Netflix', 'HBO']",North America,82,https://image.tmdb.org/t/p/original/1zwbv79FcxAb1dtgcufuYKGiznJ.jpg
tt1001508,35,3.199980917339281,2009,He's Just Not That Into You,129,"['Netflix', 'HBO']",North America,64,https://image.tmdb.org/t/p/original/ruc33YnCrmCL8PHdPQVzfa4shWX.jpg
tt0102011,35,2.849583850478946,1991,"He Said, She Said",115,"['Netflix', 'HBO']",North America,57,https://image.tmdb.org/t/p/original/ehBP99ZtrfEGxryY2CHf2xZSdxO.jpg
tt0124718,18,3.4499258933078467,1998,He Got Game,136,"['Netflix', 'HBO']",North America,69,https://image.tmdb.org/t/p/original/kd8hRaysUQOz7AvSorZDJHuihcJ.jpg
tt0304141,12,3.9499932626106444,2004,Harry Potter and the Prisoner of Azkaban,141,"['Netflix', 'HBO']",Europe,79,https://image.tmdb.org/t/p/original/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg
tt0241527,12,3.7999946404934697,2001,Harry Potter and the Philosopher's Stone,152,"['Netflix', 'HBO']",Europe,76,https://image.tmdb.org/t/p/original/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg
tt0373889,28,3.749993063705701,2007,Harry Potter and the Order of the Phoenix,138,"['Netflix', 'HBO']",Europe,75,https://image.tmdb.org/t/p/original/s836PRwHkLjrOJrfW0eo7B4NJOf.jpg
tt0417741,28,3.7999924743310323,2009,Harry Potter and the Half-Blood Prince,153,"['Netflix', 'HBO']",Europe,76,https://image.tmdb.org/t/p/original/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg
tt0330373,12,3.849993361513851,2005,Harry Potter and the Goblet of Fire,157,"['Netflix', 'HBO']",Europe,77,https://image.tmdb.org/t/p/original/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg
tt1201607,12,4.049995006919423,2011,Harry Potter and the Deathly Hallows: Part 2,130,"['Netflix', 'HBO']",Europe,81,https://image.tmdb.org/t/p/original/da22ZBmrDOXOCDRvr8Gic8ldhv4.jpg
tt0926084,12,3.849992427900335,2010,Harry Potter and the Deathly Hallows: Part 1,146,"['Netflix', 'HBO']",Europe,77,https://image.tmdb.org/t/p/original/f1geQ0I9UETRF1ed30voZfw8zT.jpg
tt0295297,12,3.6999937094354216,2002,Harry Potter and the Chamber of Secrets,161,"['Netflix', 'HBO']",Europe,74,https://image.tmdb.org/t/p/original/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg
tt0366551,12,3.4999815621106642,2004,Harold & Kumar Go to White Castle,88,"['Netflix', 'HBO']",North America,70,https://image.tmdb.org/t/p/original/5vO7R4xYlDipTp8gzfRbWegO8eb.jpg
tt0481536,12,3.299975457293832,2008,Harold & Kumar Escape from Guantanamo Bay,107,"['Netflix', 'HBO']",North America,66,https://image.tmdb.org/t/p/original/pRo2wOKbJEfoLnTK1APcDtKfGzL.jpg
tt0102005,28,3.0498448350418768,1991,Harley Davidson and the Marlboro Man,98,"['Netflix', 'HBO']",North America,61,https://image.tmdb.org/t/p/original/4WRdrjHyLuHRwep2UJWBoIn6KTW.jpg
tt0074605,99,4.149251915279178,1977,Harlan County U.S.A.,103,"['Netflix', 'HBO']",North America,83,https://image.tmdb.org/t/p/original/ellKxaweJC09DShpyvMESZZW9cO.jpg
tt1402488,16,2.949932246988439,2011,Happy Feet Two,117,"['Netflix', 'HBO']",Others,59,https://image.tmdb.org/t/p/original/2gWiQ4mn85jcXtREVePlVViupeV.jpg
